p_D:23.185541	p_A:23.365854	p_S:53.191667	c:28.000000		l_D:0.171945	l_A:0.165505	l_S:0.899702		R2_D:0.000000	R2_A:0.000000	R2_S:0.000000		l_avg_D:0.171945	l_avg_A:0.165505	l_avg_S:0.899702
p_D:27.526459	p_A:22.810097	p_S:53.414677	c:36.000000		l_D:0.235376	l_A:0.366386	l_S:0.483741		R2_D:-1.968122	R2_A:-5.107777	R2_S:-28.309095		l_avg_D:0.203661	l_avg_A:0.265946	l_avg_S:0.691722
p_D:23.942219	p_A:21.197039	p_S:53.781158	c:43.000000		l_D:0.443204	l_A:0.507046	l_S:0.250725		R2_D:-3.066677	R2_A:-4.954006	R2_S:-8.356134		l_avg_D:0.283508	l_avg_A:0.346312	l_avg_S:0.544723
p_D:36.364906	p_A:38.811993	p_S:54.569750	c:46.000000		l_D:0.209459	l_A:0.156261	l_S:0.186299		R2_D:-1.858698	R2_A:-2.748303	R2_S:-4.849883		l_avg_D:0.264996	l_avg_A:0.298800	l_avg_S:0.455117
p_D:43.787102	p_A:37.111198	p_S:54.986662	c:47.000000		l_D:0.068360	l_A:0.210400	l_S:0.169929		R2_D:-1.209987	R2_A:-2.229425	R2_S:-3.690361		l_avg_D:0.225669	l_avg_A:0.281120	l_avg_S:0.398079
p_D:44.756866	p_A:49.222122	p_S:56.063635	c:48.000000		l_D:0.067565	l_A:0.025461	l_S:0.167992		R2_D:-0.860698	R2_A:-1.673864	R2_S:-3.087985		l_avg_D:0.199318	l_avg_A:0.238510	l_avg_S:0.359731
p_D:49.542835	p_A:53.338066	p_S:56.569901	c:53.000000		l_D:0.065230	l_A:0.006379	l_S:0.067357		R2_D:-0.376902	R2_A:-0.938400	R2_S:-1.993203		l_avg_D:0.180163	l_avg_A:0.205348	l_avg_S:0.317964
p_D:59.274693	p_A:59.396122	p_S:57.257477	c:56.000000		l_D:0.058477	l_A:0.060645	l_S:0.022455		R2_D:-0.039616	R2_A:-0.457338	R2_S:-1.221988		l_avg_D:0.164952	l_avg_A:0.187260	l_avg_S:0.281025
p_D:58.806850	p_A:60.085304	p_S:57.438316	c:55.000000		l_D:0.069215	l_A:0.092460	l_S:0.044333		R2_D:0.087683	R2_A:-0.287197	R2_S:-0.912417		l_avg_D:0.154314	l_avg_A:0.176727	l_avg_S:0.254726
p_D:66.582901	p_A:68.223160	p_S:58.768775	c:80.000000		l_D:0.167714	l_A:0.147211	l_S:0.265390		R2_D:0.541682	R2_A:0.420324	R2_S:-0.003375		l_avg_D:0.155654	l_avg_A:0.173775	l_avg_S:0.255792
p_D:87.162613	p_A:84.779877	p_S:60.437774	c:78.000000		l_D:0.117469	l_A:0.086921	l_S:0.225157		R2_D:0.647366	R2_A:0.578316	R2_S:0.177649		l_avg_D:0.152183	l_avg_A:0.165880	l_avg_S:0.253007
p_D:85.930550	p_A:86.992126	p_S:60.784228	c:88.000000		l_D:0.023516	l_A:0.011453	l_S:0.309270		R2_D:0.761328	R2_A:0.715711	R2_S:0.244616		l_avg_D:0.141461	l_avg_A:0.153011	l_avg_S:0.257696
p_D:85.376816	p_A:87.525444	p_S:61.239775	c:87.000000		l_D:0.018657	l_A:0.006040	l_S:0.296095		R2_D:0.809986	R2_A:0.774286	R2_S:0.257115		l_avg_D:0.132014	l_avg_A:0.141705	l_avg_S:0.260650
p_D:83.486183	p_A:81.574608	p_S:60.449443	c:76.000000		l_D:0.098502	l_A:0.073350	l_S:0.204613		R2_D:0.811117	R2_A:0.782794	R2_S:0.256955		l_avg_D:0.129621	l_avg_A:0.136823	l_avg_S:0.256647
p_D:76.596161	p_A:76.018829	p_S:60.263078	c:86.000000		l_D:0.109347	l_A:0.116060	l_S:0.299267		R2_D:0.818812	R2_A:0.792009	R2_S:0.231598		l_avg_D:0.128269	l_avg_A:0.135439	l_avg_S:0.259488
p_D:86.315758	p_A:87.646080	p_S:61.653681	c:67.000000		l_D:0.288295	l_A:0.308150	l_S:0.079796		R2_D:0.754558	R2_A:0.718606	R2_S:0.231979		l_avg_D:0.138271	l_avg_A:0.146233	l_avg_S:0.248257
p_D:69.957413	p_A:64.063362	p_S:60.492194	c:48.000000		l_D:0.457446	l_A:0.334653	l_S:0.260254		R2_D:0.678686	R2_A:0.682001	R2_S:0.225785		l_avg_D:0.157046	l_avg_A:0.157317	l_avg_S:0.248963
p_D:48.791424	p_A:56.780510	p_S:58.660701	c:44.000000		l_D:0.108896	l_A:0.290466	l_S:0.333198		R2_D:0.687853	R2_A:0.668002	R2_S:0.221686		l_avg_D:0.154371	l_avg_A:0.164714	l_avg_S:0.253643
p_D:52.417782	p_A:46.952522	p_S:58.827423	c:48.000000		l_D:0.092037	l_A:0.021822	l_S:0.225571		R2_D:0.690705	R2_A:0.674200	R2_S:0.217764		l_avg_D:0.151090	l_avg_A:0.157193	l_avg_S:0.252165
p_D:50.588787	p_A:57.502247	p_S:58.951242	c:51.000000		l_D:0.008063	l_A:0.127495	l_S:0.155907		R2_D:0.693408	R2_A:0.670332	R2_S:0.214583		l_avg_D:0.143939	l_avg_A:0.155708	l_avg_S:0.247352
p_D:51.217022	p_A:48.221588	p_S:58.395544	c:49.000000		l_D:0.045245	l_A:0.015886	l_S:0.191746		R2_D:0.696567	R2_A:0.674466	R2_S:0.210761		l_avg_D:0.139239	l_avg_A:0.149050	l_avg_S:0.244705
